province_name,country,hdi,population_density,urban_pop,clean_water_access,health_expense,life_expectancy,infant_mortality,confirmed
Navarra,Spain,0.913,62.96,"5,32,417.00","6,67,777.00","1,54,92,39,306.00",84.297,2.96,5137
New South Wales,Australia,0.939,9.988,"72,39,746.00","80,98,150.00","38,31,99,87,835.94",82.388,3.90,3075
Lower Saxony,Germany,0.922,167.667,"59,01,961.00","77,76,936.00","36,27,99,77,231.72",78.944,3.34,11147
Ningxia,China,0.745,94.9,"34,43,463.00","47,20,148.00","2,69,66,04,066.71",74.402,11.40,75
Nordrhein-Westfalen,Germany,0.936,526.116,"1,34,60,144.00","1,77,36,856.00","82,74,09,17,399.43",80.143,3.39,36134
Northern Territory,Australia,0.926,0.173,"2,16,994.00","2,42,723.00","1,14,85,54,100.50",81.247,3.85,29
Molise,Italy,0.863,68.864,"2,06,099.00","2,97,298.00","84,32,76,086.41",80.436,2.93,410
P.A. Trento,Italy,0.883,78.826,"7,39,870.00","10,67,247.00","3,02,72,53,360.46",82.3,3.00,4326
Piemonte,Italy,0.888,171.532,"30,22,934.00","43,60,500.00","12,36,86,38,510.07",82.766,3.02,29483
Qinghai,China,0.686,7.802,"28,31,295.00","38,30,548.00","2,21,72,10,282.30",68.509,10.50,18
Queensland,Australia,0.932,2.752,"45,25,882.00","50,62,508.00","23,95,55,04,398.86",81.774,3.88,1055
Rheinland-Pfalz,Germany,0.928,205.754,"30,39,854.00","40,05,634.00","18,68,63,05,224.98",79.458,3.36,6449
Saarland,Germany,0.931,385.562,"7,39,498.00","9,74,449.00","4,54,57,76,651.71",79.715,3.37,2708
Sachsen,Germany,0.93,221.434,"30,41,255.00","40,07,499.00","18,69,49,12,952.27",79.629,3.37,5110
Sachsen-Anhalt,Germany,0.908,108.007,"16,07,968.00","21,18,726.00","9,88,43,48,234.69",77.746,3.29,1676
Schleswig-Holstein,Germany,0.92,183.348,"21,37,088.00","28,15,999.00","13,13,69,07,213.68",78.773,3.33,2998
Shaanxi,China,0.756,181.553,"2,06,99,262.00","2,84,42,426.00","16,20,97,60,195.02",75.5,11.57,308
Shandong,China,0.765,622.842,"5,37,52,799.00","7,40,06,759.00","42,09,42,53,694.46",76.399,11.71,788
Shanghai,China,0.867,3630.208,"1,46,39,084.00","2,06,06,173.00","11,46,39,86,143.90",86.586,13.27,665
Shanxi,China,0.75,228.484,"1,96,46,372.00","2,69,60,060.00","15,38,52,33,645.73",74.901,11.48,198
Sichuan,China,0.716,165.811,"4,22,35,044.00","5,75,23,910.00","33,07,46,06,061.05",71.506,10.96,561
Sardegna,Italy,0.858,67.478,"10,99,287.00","15,85,729.00","4,49,78,43,024.15",79.97,2.92,1352
South Australia,Australia,0.926,1.677,"15,45,979.00","17,29,283.00","8,18,28,70,463.40",81.247,3.85,439
Tasmania,Australia,0.907,5.887,"4,61,861.00","5,16,623.00","2,44,46,33,238.27",79.58,3.77,228
Thuringen,Germany,0.921,132.522,"15,82,852.00","20,85,699.00","9,72,99,62,629.08",78.859,3.33,2711
Tianjin,China,0.85,1144.469,"80,66,760.00","1,13,13,451.00","6,31,71,45,811.61",84.888,13.01,192
Tibet,China,0.585,2.444,"12,88,238.00","17,03,589.00","1,00,88,29,743.38",58.423,8.95,1
Sicilia,Italy,0.838,194.457,"32,74,107.00","47,22,995.00","13,39,63,36,132.17",78.106,2.85,3382
Toscana,Italy,0.9,162.243,"26,22,997.00","37,83,566.00","10,73,22,55,929.64",83.884,3.06,9913
Umbria,Italy,0.884,104.331,"6,09,279.00","8,78,871.00","2,49,29,27,892.76",82.393,3.00,1422
Veneto,Italy,0.892,266.767,"34,19,541.00","49,32,579.00","13,99,13,92,966.02",83.139,3.03,18928
Victoria,Australia,0.936,27.749,"58,83,183.00","65,80,742.00","31,13,97,00,879.14",82.125,3.89,1558
Western Australia,Australia,0.953,0.992,"23,81,262.00","26,63,604.00","12,60,40,25,603.43",83.616,3.96,553
Xinjiang,China,0.731,13.137,"1,16,96,206.00","1,59,83,175.00","9,15,93,93,893.88",73.004,11.19,76
Yunnan,China,0.672,116.666,"2,26,57,596.00","3,05,58,343.00","17,74,33,47,315.43",67.111,10.28,185
Zhejiang,China,0.789,533.597,"3,14,98,952.00","4,35,96,090.00","24,66,70,85,551.10",78.796,12.07,1268
